recordID,species,scientificName,gbif_JSON,gbif_family,EOL-ID,genus,species*,mo,dy,yr,date,period,plot,note1,stake,locality,coordinates,county,state,country,sex
70,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,8,19,1977,1977-08-19T00:00:00Z,2,3,,57,,,,,,F
117,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,8,21,1977,1977-08-21T00:00:00Z,2,21,,13,,,,,,F
166,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,9,11,1977,1977-09-11T00:00:00Z,3,21,,27,,,,,,M
177,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,9,11,1977,1977-09-11T00:00:00Z,3,5,,63,,,,,,F
185,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,9,11,1977,1977-09-11T00:00:00Z,3,12,,77,,,,,,F
242,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,9,13,1977,1977-09-13T00:00:00Z,3,2,,77,,,,,,M
333,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,10,18,1977,1977-10-18T00:00:00Z,4,19,,22,,,,,,
587,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,2,18,1978,1978-02-18T00:00:00Z,8,2,,16,,,,,,
6609,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,9,19,1982,1982-09-19T00:00:00Z,62,19,,21,,,,,,M
9209,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,5,27,1984,1984-05-27T00:00:00Z,79,14,,33,,,,,,M
16235,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,7,3,1989,1989-07-03T00:00:00Z,136,12,,42,,,,,,M
20654,OX,Onychomys�sp.,"{""usageKey"":2438514,""scientificName"":""Onychomys Baird, 1857"",""canonicalName"":""Onychomys"",""rank"":""GENUS"",""status"":""ACCEPTED"",""confidence"":94,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Cricetidae"",""genus"":""Onychomys"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":3240723,""genusKey"":2438514,""synonym"":false,""class"":""Mammalia""}",Cricetidae,,Onychomys�sp.,,2,19,1993,1993-02-19T00:00:00Z,180,17,,57,,,,,,
22711,PB,Chaetodipus baileyi,"{""usageKey"":2439581,""scientificName"":""Chaetodipus baileyi (Merriam, 1894)"",""canonicalName"":""Chaetodipus baileyi"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Heteromyidae"",""genus"":""Chaetodipus"",""species"":""Chaetodipus baileyi"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":5504,""genusKey"":2439576,""speciesKey"":2439581,""synonym"":false,""class"":""Mammalia""}",Heteromyidae,,Chaetodipus,baileyi,9,23,1995,1995-09-23T00:00:00Z,212,1,,54,,,,,,F
22868,PB,Chaetodipus baileyi,"{""usageKey"":2439581,""scientificName"":""Chaetodipus baileyi (Merriam, 1894)"",""canonicalName"":""Chaetodipus baileyi"",""rank"":""SPECIES"",""status"":""ACCEPTED"",""confidence"":99,""matchType"":""EXACT"",""kingdom"":""Animalia"",""phylum"":""Chordata"",""order"":""Rodentia"",""family"":""Heteromyidae"",""genus"":""Chaetodipus"",""species"":""Chaetodipus baileyi"",""kingdomKey"":1,""phylumKey"":44,""classKey"":359,""orderKey"":1459,""familyKey"":5504,""genusKey"":2439576,""speciesKey"":2439581,""synonym"":false,""class"":""Mammalia""}",Heteromyidae,,Chaetodipus,baileyi,10,28,1995,1995-10-28T00:00:00Z,213,1,,41,,,,,,F
